Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
78	282.55106	2.0156932	284.36984	276.65833	260.6	71.65276	27.857634	102.11997	-24.58484	316000	4.529953e-09	98.0583	-0.009937066	-14.6226425	0.5493479	0.0067073097	0.1025	79.0	390.80656599998474
79	283.20178	2.3042974	288.98697	278.08835	261.13333	71.43131	28.557766	101.77033	-26.715662	320000	2.6226044e-09	91.265114	-0.012599431	-15.3296585	0.55044484	0.008769847	0.11575	79.0	396.04507207870483
80	282.54684	1.8927561	285.46176	277.97275	260.6	71.95086	28.326748	102.12785	-16.083508	324000	-7.629395e-09	73.32823	-0.008706961	-14.68589	0.5491052	0.008134912	0.107	79.0	400.3394501209259
81	282.2742	2.310712	285.52347	277.94077	260.4	71.18258	29.19721	101.89508	-14.44396	328000	-2.384186e-10	87.83807	-0.013740092	-16.110252	0.5389748	0.01118802	0.14175	79.0	405.15523886680603
82	282.10178	2.9536214	289.1124	277.99298	260.26666	71.83977	28.475492	102.965935	-17.208506	332000	1.4781952e-08	76.57256	-0.014898767	-16.493404	0.5120425	0.010605361	0.116	79.0	410.1876702308655
83	281.85504	2.4364972	285.52805	277.959	260.06668	71.687904	28.781305	102.62113	-29.819593	336000	-7.7486035e-09	71.107635	-0.011716539	-17.793255	0.49668476	0.0045338906	0.1225	79.0	414.7409839630127
84	281.70636	2.7564478	286.81586	277.95746	259.93332	71.51368	29.008718	101.43766	-22.263773	340000	-2.3841857e-09	65.934944	-0.011573114	-11.25824	0.46823445	0.011734661	0.1175	79.0	420.01300501823425
85	283.97397	1.1639762	286.72214	282.95566	261.73334	71.03669	28.545456	100.76221	-20.115206	344000	1.4305115e-09	70.68018	-0.013631392	-15.145538	0.46522853	0.008543515	0.121	79.0	424.5869343280792
86	282.13632	2.7120361	286.7619	276.73492	260.26666	72.28464	27.670673	101.11133	-16.32641	348000	-3.8146974e-09	101.18877	-0.012919431	-38.45226	0.45666668	0.012580423	0.14525	79.0	428.94500970840454
87	282.02814	3.0167909	286.81912	276.6891	260.2	71.20403	28.963192	101.774574	-20.648245	352000	-5.2452087e-09	79.53045	-0.013016555	-17.861954	0.45041654	0.010955483	0.11	79.0	434.3051176071167
88	283.50735	1.5098575	285.565	279.28906	261.33334	71.81475	28.156143	101.41622	-13.21573	356000	-1.001358e-08	65.96257	-0.011932409	-12.931938	0.42903274	0.005876651	0.122	79.0	439.26046085357666
89	283.75418	1.7404096	285.67545	279.2457	261.53333	71.67109	28.917337	102.304	-17.18644	360000	-9.6559525e-09	72.80682	-0.012234387	-15.7215805	0.41248292	0.006690086	0.1115	79.0	445.5253059864044
90	284.48477	1.622373	289.20612	281.81482	262.13333	71.38111	28.92187	102.07605	-14.269706	364000	1.0490417e-08	65.95098	-0.012810458	-17.64619	0.4156117	0.0059117777	0.10475	79.0	452.0276839733124
91	284.1742	1.7193124	285.606	278.01114	261.86667	71.916954	28.612663	102.01923	-18.019775	368000	-1.9073487e-09	52.00403	-0.012532014	-10.593716	0.4076783	0.0062824846	0.09575	79.0	457.14056515693665
92	283.14026	3.20103	288.9614	276.7157	261.06668	71.93007	28.727211	102.659485	-18.957384	372000	-7.629395e-09	57.007217	-0.0125108035	-11.26297	0.40756315	0.010639986	0.1155	79.0	468.10791873931885
93	282.97278	2.7778509	285.64313	276.70966	260.93332	71.78625	29.021883	102.10609	-16.825474	376000	-1.9073486e-08	61.828667	-0.012026237	-10.663296	0.400254	0.006956824	0.11475	79.0	475.50828194618225
94	284.39606	1.3342327	285.57587	280.56174	262.06668	71.28283	28.83926	101.73567	-18.130104	380000	-3.3378602e-09	49.597855	-0.009682375	-10.71051	0.3776636	0.00944745	0.1095	79.0	480.5294873714447
95	283.91663	1.98983	286.85406	279.24863	261.66666	71.18289	28.905998	101.27446	-19.586857	384000	2.3841857e-09	50.694748	-0.011448349	-8.322708	0.38909984	0.0078189345	0.126	79.0	484.90462493896484
96	284.51273	0.923679	285.65765	282.9949	262.13333	72.07534	28.914705	102.701614	-18.38536	388000	-1.502037e-08	47.572403	-0.010617349	-9.527199	0.38636535	0.0055839894	0.10625	79.0	489.9933068752289
97	284.34286	1.906857	286.91003	278.04395	262.0	71.77013	29.372469	101.716484	-14.682279	392000	4.2915342e-09	51.95525	-0.011342612	-11.635159	0.36559716	0.009907931	0.1195	79.0	494.63688468933105
98	282.0649	2.924356	285.67014	275.5056	260.2	72.13919	28.564548	101.06907	-13.807292	396000	1.502037e-08	45.521492	-0.011308441	-15.048288	0.36765108	0.0128299035	0.11375	79.0	498.9501898288727
99	284.00595	1.4184154	285.64597	279.30795	261.73334	71.26341	29.219515	100.93015	-22.326105	400000	-5.00679e-09	34.54689	-0.0096262125	-4.8324413	0.36380005	0.0065572886	0.0945	79.0	504.23181653022766
100	284.18616	1.2183037	285.6385	280.52655	261.86667	71.22397	29.261608	101.09692	-13.559329	404000	-1.5616417e-08	42.04297	-0.012093936	-10.566074	0.3611531	0.008030629	0.11	79.0	508.60323548316956
101	284.60986	0.5093484	285.63898	284.3084	262.2	71.85329	29.362011	101.81969	-15.249756	408000	-9.536744e-10	31.008347	-0.010460164	-4.0561905	0.35479274	0.0045057447	0.097	79.0	512.8546166419983
102	284.61472	1.3931756	286.8811	280.60266	262.2	71.2764	29.575424	101.35234	-18.511337	412000	-9.775162e-09	28.54899	-0.008859871	-5.111662	0.34599945	0.006166646	0.089	79.0	518.3344395160675
103	284.46127	1.0841417	285.66205	281.86008	262.06668	71.7522	29.60871	101.63908	-21.120878	416000	5.2452087e-09	33.354576	-0.009654845	-6.0478535	0.3320299	0.005531988	0.12225	79.0	522.8338198661804
104	285.21323	1.0006458	286.9213	283.10498	262.66666	71.374954	29.662699	101.6632	-15.1884575	420000	-7.867813e-09	32.88502	-0.011414356	-8.106604	0.33120644	0.0062936973	0.124	79.0	527.3176007270813
105	284.01773	1.7599082	285.66214	278.02884	261.73334	71.92845	29.23854	102.0901	-13.264029	424000	7.510185e-09	34.88622	-0.010699293	-6.0412064	0.3018861	0.0104791	0.1095	79.0	532.8060252666473
106	284.60724	0.82214135	286.8537	283.06003	262.2	71.032135	29.343113	100.40607	-13.545489	428000	3.0994416e-09	45.121685	-0.012349724	-13.0932045	0.29709765	0.0067227907	0.1035	79.0	537.1362690925598
107	284.2731	1.9338351	285.65112	278.01672	261.93332	71.69265	29.383217	101.58899	-11.833462	432000	-8.106232e-09	26.584381	-0.0005564325	-5.460169	0.28144872	0.016735408	0.22825	2.0	540.8689231872559
108	284.31247	0.7963121	285.58212	283.0296	262.0	72.05665	29.506517	101.16172	-13.369645	436000	-6.824732e-09	27.392263	-0.0086368	-7.045803	0.2812645	0.0053409613	0.09925	79.0	546.1470148563385
109	284.39056	0.74063677	285.64508	282.9534	262.06668	71.71188	29.805058	101.48659	-12.873724	440000	3.8146974e-09	31.345554	-0.003199168	-5.800829	0.2506616	0.015708333	0.1945	6.0	550.0150060653687
110	284.54532	0.69196737	285.58087	282.97397	262.2	71.55535	29.740267	101.077095	-16.268667	444000	2.3841857e-09	24.030598	-0.010534761	-3.8562202	0.24991955	0.0096021425	0.11425	79.0	556.3136930465698
111	285.06863	0.6211057	285.60648	284.2778	262.6	71.40714	29.562485	101.81505	-14.699406	448000	3.3378602e-09	28.255657	-0.0021107474	-4.022629	0.22339489	0.01662793	0.187	7.0	561.1469235420227
112	284.46976	0.4318028	285.57437	284.22534	262.13333	71.35657	29.523634	102.14261	-15.793795	452000	-7.1525574e-10	32.94307	-0.010177966	-8.931883	0.22260554	0.0081742	0.1065	79.0	565.6939792633057
113	284.62448	0.7306922	285.57693	283.0189	262.26666	71.653076	29.614775	100.94745	-11.962727	456000	-5.00679e-09	19.74539	-0.008865285	-3.4023952	0.21327853	0.0044822656	0.10375	79.0	571.0610072612762
114	284.56012	0.70101345	285.60797	283.00693	262.2	71.48004	29.913378	101.61159	-10.964186	460000	1.3589859e-08	26.880281	-0.008628552	-7.3627186	0.20053335	0.008716358	0.12875	79.0	575.374516248703
115	284.90643	0.62831336	285.63425	284.2506	262.46667	71.38097	29.701092	101.18408	-16.737694	464000	1.5497208e-09	20.20369	0.0010596043	-3.6597195	0.19363561	0.01656046	0.2015	2.0	579.1379120349884
116	285.4518	0.6279264	286.83496	284.31833	262.86667	71.519325	29.891014	101.363	-17.318584	468000	-1.4305115e-09	25.693535	-0.008649757	-7.445759	0.19347012	0.00876305	0.094	79.0	584.58562541008
117	285.78287	0.43524018	286.9029	285.55154	263.13333	71.45139	29.781397	101.14527	-12.546377	472000	-3.3378602e-09	25.221613	-0.011317154	-7.1243477	0.18122835	0.010421161	0.135	79.0	588.9410631656647
118	285.36536	0.49738586	285.67368	284.36063	262.8	71.783516	29.692503	101.481316	-20.015882	476000	-4.7683715e-09	22.52468	-0.012360168	-4.835844	0.16633326	0.009213883	0.158	79.0	593.4603633880615
119	285.69952	0.7242719	286.92172	284.32404	263.06668	71.715935	29.817629	101.04316	-14.021508	480000	5.722046e-09	21.985716	-0.010131625	-3.6284695	0.15666236	0.005596057	0.125	79.0	598.8667755126953
120	285.536	0.55801475	286.8611	284.33472	262.93332	71.87756	29.693033	101.41803	-11.870959	484000	7.152557e-09	24.37119	-0.011038403	-5.2800083	0.13405293	0.009696575	0.13675	79.0	603.3255009651184
121	285.85336	1.0774587	286.90588	282.95386	263.2	71.47127	30.06884	102.30597	-12.419657	488000	0.0	26.63394	-0.010304006	-6.6462555	0.11418158	0.008780019	0.1025	79.0	607.6441941261292
122	286.12442	0.788137	286.9697	284.3174	263.4	71.614525	29.466768	102.330734	-13.418221	492000	-1.4901161e-09	20.467606	-0.009132885	-4.9999046	0.110802844	0.005440419	0.0965	79.0	613.0361292362213
123	286.2036	0.91620755	288.15045	284.31323	263.46667	71.733536	29.772188	101.68721	-13.65049	496000	-9.059906e-09	20.018036	-0.008292122	-2.5396729	0.09802521	0.0067958185	0.113	79.0	617.3193409442902
