Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
60	-99.43521	57.56857	-7.617686	-160.95659	1000.0	-4.975127	0.00012287401	-4.9737983	-4.975768	244000	3.2901763e-08	69.92076	-0.0018442218	-5.746971	1.2589561	0.0029243485	0.04475	79.0	131.82089185714722
61	-71.00061	54.421604	-3.8281143	-147.99527	1000.0	-7.1241827	8.700301e-05	-7.123561	-7.1247387	248000	1.7881393e-09	54.28486	-0.0024870571	-3.5335464	1.239582	0.0047749574	0.0225	79.0	133.80198764801025
62	-24.3172	17.421242	-6.6488576	-49.99729	1000.0	-5.434055	8.169288e-05	-5.4334316	-5.434555	252000	-7.2479246e-08	15.721933	-0.003823582	-10.236062	1.2294257	0.0015976774	0.0195	79.0	135.8022210597992
63	-48.726894	31.079157	-8.39653	-95.3847	1000.0	-2.5055118	7.399027e-05	-2.5048096	-2.5059037	256000	-1.7762185e-08	23.67654	-0.003352363	-0.39425087	1.2079772	0.0051309317	0.03925	79.0	137.80285382270813
64	-45.252594	13.012759	-24.004	-58.20956	1000.0	-3.0733798	7.5171025e-05	-3.0727012	-3.0739424	260000	1.5497207e-08	10.630584	-0.0010717949	-0.043380737	1.1846064	0.0010690617	0.00175	79.0	139.79874300956726
65	-57.24109	42.395313	-11.806802	-117.16329	1000.0	-3.2708037	9.2732735e-05	-3.2698357	-3.2713437	264000	8.8214875e-09	42.022022	-0.0012140358	-0.04480362	1.1796451	0.0017170409	0.02425	79.0	143.09245371818542
66	-76.90432	37.238586	-21.586283	-119.78016	1000.0	-3.471482	0.00013321837	-3.4700365	-3.471705	268000	1.192093e-10	51.21533	-0.0012724451	-1.9131355	1.1719018	0.001118999	0.0055	79.0	145.3864939212799
67	-56.93298	23.209415	-33.6567	-82.39221	1000.0	-4.7939525	0.00010423638	-4.793539	-4.794699	272000	7.390976e-09	17.11189	-0.0032476885	-0.1968975	1.1802202	0.0033391833	0.025	79.0	147.4258439540863
68	-52.703697	34.422787	-13.910144	-88.45233	1000.0	-4.3678164	0.00013966695	-4.366856	-4.3684382	276000	-2.0742416e-08	14.395975	-0.0027483194	-0.04901886	1.2209562	0.0029697216	0.03	79.0	149.53007674217224
69	-23.359888	15.32633	-6.2167077	-43.70587	1000.0	-4.1513643	9.712126e-05	-4.150481	-4.1520214	280000	-1.45435335e-08	9.369758	-0.0048095468	-5.050324	1.2245177	0.0023863988	0.023	79.0	151.5632519721985
70	-63.540474	82.380714	-6.705831	-205.85487	1000.0	-1.9469129	6.651062e-05	-1.9463613	-1.9474139	284000	1.29342075e-08	83.631	-0.001564122	-6.7368317	1.250714	0.019224891	0.2655	3.0	153.4257309436798
71	-189.3485	72.72795	-72.93209	-252.56615	1000.0	-4.5031295	0.00011517832	-4.502154	-4.503917	288000	-1.2159347e-08	206.91039	-0.00092588854	-115.91054	1.2516869	0.001981007	0.00375	79.0	155.44131088256836
72	-55.771347	7.2310967	-45.40818	-65.408195	1000.0	-14.588323	0.00013846603	-14.586403	-14.588933	292000	7.009506e-08	88.964424	-0.0011501971	-76.448	1.2293091	0.0045701666	0.03775	79.0	157.45243906974792
73	-190.73808	62.22273	-93.54587	-266.5104	1000.0	-6.745301	0.00024797107	-6.7418566	-6.746194	296000	3.9339065e-09	197.12944	-0.003404279	-83.74451	1.2192832	0.0023390017	0.02875	79.0	159.52772974967957
74	-110.79184	69.71985	-57.15791	-230.22896	1000.0	-14.636369	9.186352e-05	-14.6358795	-14.636824	300000	1.9431114e-08	75.41942	-0.0017776497	-7.7083282	1.2458335	0.0019381437	0.02875	79.0	161.51889085769653
75	-89.2726	24.665018	-54.498783	-115.40151	1000.0	-12.284922	0.00018160653	-12.283527	-12.285217	304000	1.692772e-08	41.85736	-0.0011461992	-13.485674	1.2221576	0.0016154449	0.016	79.0	163.56353378295898
76	-130.1715	125.77925	-20.30131	-328.1097	1000.0	-9.045523	0.00017954822	-9.044019	-9.045913	308000	-6.0796737e-09	155.90483	-0.0024871107	-4.775772	1.222335	0.0034970087	0.0255	79.0	165.58631587028503
77	-37.35723	29.138405	-11.210795	-82.07084	1000.0	-10.960231	9.499878e-05	-10.95993	-10.960884	312000	9.918213e-08	54.65518	-0.001736887	-43.756577	1.2306403	0.0044912016	0.02575	79.0	167.57495498657227
78	-160.10321	101.12923	-39.39713	-300.4921	1000.0	-5.1670933	0.00020112252	-5.1651807	-5.1681952	316000	-5.042553e-08	212.8945	-0.0018502263	-47.744507	1.2367979	0.0017701003	0.01575	79.0	169.58828783035278
79	-74.74702	56.35576	-7.7815604	-149.45692	1000.0	-11.101039	0.00017647863	-11.09863	-11.10196	320000	9.536743e-09	73.709816	-0.0018063048	-21.69532	1.2552016	0.0007963835	0.0165	79.0	171.61132168769836
80	-145.55954	92.700806	-30.560455	-254.49684	1000.0	-7.127922	0.0001363386	-7.1264863	-7.1288586	324000	4.529953e-09	130.89816	-0.002293328	-22.598068	1.2621845	0.0054484084	0.03625	79.0	173.63278985023499
81	-57.833637	33.003654	-6.3416104	-97.847916	1000.0	-11.202424	0.00013579574	-11.200818	-11.202666	328000	-2.4318695e-08	60.261875	-0.0012939082	-37.193047	1.2478398	0.0005196861	0.0055	79.0	175.63920092582703
82	-45.949497	62.83126	-5.226801	-154.63722	1000.0	-5.999506	0.00017585143	-5.99783	-6.0003757	332000	-2.2470951e-08	46.184566	-0.0027515043	-4.568432	1.2161657	0.0026516938	0.0125	79.0	177.63799595832825
83	-39.10774	7.691891	-27.303612	-46.81831	1000.0	-4.100033	0.00010668973	-4.099669	-4.100626	336000	-9.536744e-10	3.0940514	-0.002329836	-0.26909566	1.2250055	0.002908608	0.00925	79.0	179.70069670677185
84	-96.52476	63.383877	-5.3060427	-168.75449	1000.0	-3.6317978	0.00015510083	-3.6306481	-3.632434	340000	7.1525574e-10	75.0381	-0.0021831058	-15.278553	1.2032586	0.0018276443	0.0045	79.0	181.6996259689331
85	-153.52806	85.4264	-24.160404	-239.94423	1000.0	-7.092394	0.00019110084	-7.091819	-7.0929856	344000	1.8835069e-08	128.11604	-0.0012282269	-33.67611	1.1921786	0.0038303426	0.03075	79.0	183.70346188545227
86	-69.910645	39.72613	-20.399576	-126.68155	1000.0	-12.239176	9.3846815e-05	-12.238528	-12.239403	348000	2.4676323e-08	61.915176	-0.001137643	-32.543457	1.1703986	0.004393713	0.029	79.0	185.72965097427368
87	-339.73032	217.93326	-48.993034	-572.8902	1000.0	-7.265448	0.00023293804	-7.2635374	-7.2663183	352000	6.508827e-08	967.1696	-0.0014750957	-488.79132	1.154627	0.0014699841	0.005	79.0	187.71997094154358
88	-472.4945	51.064762	-430.97537	-559.5968	1000.0	-23.109785	4.0510353e-05	-23.109365	-23.10991	356000	-1.2874604e-08	529.80475	-0.0010412243	-393.66855	1.1357707	0.0028660079	0.009	79.0	189.76834893226624
89	-170.18037	162.70354	-47.320873	-450.2392	1000.0	-35.881603	3.0214413e-05	-35.88135	-35.88167	360000	6.0796737e-09	557.8661	-0.00042542588	-220.71106	1.1313486	0.002356835	0.00725	79.0	191.75895190238953
90	-140.2079	95.96609	-5.3519626	-268.24023	1000.0	-27.535961	2.9359186e-05	-27.535866	-27.536093	364000	-9.3221665e-08	293.56042	-0.0012574238	-141.21951	1.135805	0.0023930627	0.00875	79.0	193.76257300376892
91	-43.211933	36.406284	-5.818615	-81.26931	1000.0	-20.501684	2.2240169e-05	-20.5015	-20.50176	368000	2.2244454e-07	245.60027	-0.0035034344	-163.43362	1.1268768	0.0037249038	0.018	79.0	195.78440976142883
92	-148.4154	90.906334	-38.851322	-280.87314	1000.0	-13.194567	5.5775872e-05	-13.193913	-13.194681	372000	7.987023e-09	156.74435	-0.0012103857	-2.3937225	1.1309652	0.0016159763	0.01175	79.0	197.78441071510315
93	-112.73925	81.02158	-5.3698573	-199.94257	1000.0	-12.065824	3.4111486e-05	-12.065464	-12.066011	376000	-1.3828277e-08	104.12781	-0.0020007773	-5.4945984	1.1489942	0.0023750835	0.01325	79.0	199.79011297225952
94	-79.028946	50.45137	-21.84895	-157.6819	1000.0	-10.715505	4.5841163e-05	-10.714819	-10.715656	380000	3.2782555e-08	58.0292	-0.0014117542	-12.661346	1.1705207	0.0029504786	0.01025	79.0	201.86385202407837
95	-87.546265	50.93346	-7.4502463	-144.22316	1000.0	-8.610022	3.4709537e-05	-8.609846	-8.610364	384000	-2.3841857e-09	74.06646	-0.002061688	-4.5346756	1.1988182	0.0024694107	0.00525	79.0	203.86618900299072
96	-115.35882	82.973404	-11.577936	-242.44435	1000.0	-7.2873287	5.6315475e-05	-7.286692	-7.287655	388000	1.9311905e-08	138.62282	-0.006504168	-1.1085052	1.2047359	0.004173455	0.041	79.0	205.89058184623718
97	-74.40461	39.640907	-8.362517	-112.500984	1000.0	-7.8851657	4.3803964e-05	-7.884885	-7.8854704	392000	-1.7166137e-08	50.629524	-0.0021246714	-4.0613213	1.2331542	0.0048888726	0.031	79.0	207.88503980636597
98	-98.22145	71.70741	-20.757944	-211.92665	1000.0	-6.67287	9.6824835e-05	-6.67205	-6.6730537	396000	-2.0623206e-08	67.32295	-0.0019411446	-1.5132599	1.2290801	0.003797047	0.01925	79.0	209.93712377548218
99	-65.580986	69.7659	-6.5377927	-184.43068	1000.0	-7.403002	6.1415e-05	-7.402593	-7.403374	400000	-1.40070915e-08	87.701225	-0.0017221142	-5.6152954	1.2348765	0.0014465076	0.00925	79.0	211.9723219871521
100	-58.887505	29.12338	-11.145234	-85.80775	1000.0	-5.9219565	6.0994924e-05	-5.9217205	-5.9222364	404000	1.001358e-08	37.291447	-0.004118478	-4.2587395	1.2503887	0.0030730343	0.01625	79.0	213.98686480522156
101	-49.869324	36.754932	-11.167985	-88.01147	1000.0	-4.542292	8.296434e-05	-4.5415287	-4.542656	408000	-4.4107438e-09	36.46805	-0.0009610478	-1.8202248	1.2765609	0.0003441269	0.004	79.0	216.02210474014282
102	-25.845516	10.968672	-16.30862	-43.66327	1000.0	-3.6191978	0.00010082252	-3.6182034	-3.6193821	412000	5.1259996e-09	8.835238	-0.001476294	-3.0895443	1.2837203	0.0035873614	0.01725	79.0	218.02712392807007
103	-18.990522	8.593609	-7.13636	-31.428703	1000.0	-2.3013053	9.844849e-05	-2.3007784	-2.3016605	416000	1.4305115e-09	2.5961473	-0.0029245405	-0.9650265	1.2766122	0.0020608539	0.03225	79.0	220.02762699127197
104	-30.14376	9.764767	-14.52235	-39.26006	1000.0	-1.6064743	0.00016711881	-1.6055064	-1.6068629	420000	2.3841857e-09	5.3290424	-0.00047146392	-0.0051617622	1.2489129	0.00080520747	0.0035	79.0	222.01410579681396
105	-26.163301	13.362429	-8.564736	-45.944897	1000.0	-1.6441954	9.9752026e-05	-1.6435667	-1.644641	424000	9.059906e-09	3.9312537	-0.0022747018	-0.0057122707	1.2509289	0.0036339532	0.01275	79.0	224.02560997009277
106	-64.583595	19.423918	-31.343702	-79.899536	1000.0	-1.7000141	0.00015678458	-1.6993778	-1.700453	428000	-5.2452087e-09	36.09874	-0.0006336688	-3.1846695	1.2533144	0.004686431	0.01425	79.0	226.02237677574158
107	-87.83819	9.65614	-77.17247	-103.46386	1000.0	-2.9918172	9.852951e-05	-2.9913652	-2.9922566	432000	-8.940697e-09	42.6722	-0.0030766483	-8.311775	1.249861	0.003726073	0.02725	79.0	228.01612281799316
108	-77.607056	20.613098	-56.678185	-111.5392	1000.0	-5.1353383	0.00010004191	-5.134934	-5.1356926	436000	-2.9802322e-08	20.810383	-0.0019439164	-0.41228485	1.293151	0.0011852365	0.0065	79.0	230.04316782951355
109	-66.73017	31.353792	-35.256557	-117.66294	1000.0	-5.6552377	6.572975e-05	-5.654922	-5.6555076	440000	1.090765e-08	21.793072	-0.0019046778	-0.0064735413	1.2940568	0.004433346	0.052	79.0	232.02924990653992
110	-38.356476	14.805894	-18.267628	-53.236347	1000.0	-5.599832	6.9290254e-05	-5.5995717	-5.6000657	444000	1.0609627e-08	13.726184	-0.0016197282	-5.9648714	1.2834425	0.0026676399	0.0315	79.0	234.04345893859863
111	-18.464817	13.163999	-6.289846	-40.40103	1000.0	-3.710184	5.2888034e-05	-3.7100332	-3.710364	448000	2.5391579e-08	6.4953504	-0.0015202623	-4.0960665	1.2803009	0.001806263	0.004	79.0	236.036278963089
112	-53.552536	27.925524	-16.004978	-91.8027	1000.0	-2.091611	8.4922634e-05	-2.0909746	-2.0917928	452000	-4.887581e-09	32.227753	-0.0016073197	-1.41292	1.2555591	0.0018881093	0.00875	79.0	238.04259300231934
